order_id,amount,date
44516715,20.0,2024-04-02
34286015,116.6999969,2024-07-07
90851690,50.0,2024-05-07
67286592,900.0,2024-07-30
15780875,1120.0,2024-08-14
88712053,101.0,2024-08-02
35877233,430.0,2024-08-06
62671578,1020.0,2024-08-07
50407375,150.0,2024-08-07
92497763,50.40000153,2024-08-13
85311511,65.0,2024-08-13
84045829,5.0,2024-08-13
27182625,15.0,2024-08-13
41460616,372.0,2024-08-25
69226073,100.0,2024-08-25
73484007,27.0,2024-08-26
67551234,3.0,2024-08-26
40138173,430.0,2024-08-26
70850839,70.0,2024-09-06
28352958,48.0,2024-08-26
29050472,1920.0,2024-08-26
75896254,24.0,2024-08-26
94744868,211.0,2024-08-27
39566472,2.0,2024-08-26
43994020,20.0,2024-08-26
74823105,370.0,2024-08-25
14854638,250.0,2024-08-26
78700075,64.0,2024-08-26
43520252,499.0,2024-08-26
28457757,4.199999809,2024-08-26
13739341,10500.0,2024-09-03
60548338,7000.0,2024-09-27
28291307,30.0,2024-10-11
43629865,90.0,2024-04-05
41686287,800.0,2024-04-11
78992025,102.0,2024-05-03
74514252,1000.0,2024-07-22
62447816,150.0,2024-07-22
94103714,2800.0,2024-07-25
81698225,300.0,2024-08-09
11499632,50.0,2024-08-06
40936510,130.0,2024-08-06
98335702,1800.0,2024-08-07
11502949,300.0,2024-08-13
64766578,1.399999976,2024-08-13
97773938,32.0,2024-08-13
91507618,20.0,2024-08-16
60827341,202.0,2024-08-26
82340925,29.0,2024-08-26
40583922,3111.0,2024-08-26
55882083,40.0,2024-08-26
76891609,168.8000031,2024-08-26
67263824,2.0,2024-08-27
43212586,144.0,2024-08-27
62098069,300.0,2024-08-26
13618725,6.0,2024-08-26
81768473,3.0,2024-08-26
96988196,15.0,2024-08-26
15364726,40.0,2024-08-26
65259380,351.0,2024-08-26
84972550,17.0,2024-08-26
71194233,127.0,2024-08-25
77234526,501.0,2024-10-09
33963035,21.0,2024-10-08
20349703,10400.0,2024-10-03
66937809,3126.0,2024-10-26
58637973,407.0,2024-11-16
73307871,127.0,2024-11-12
20197198,5500.0,2024-11-27
74727226,10.0,2024-12-03
97566778,1.399999976,2024-11-16
32616337,200.0,2024-11-18
36758479,3.0,2024-11-18
90014073,84.41000366,2024-04-02
73239761,40000.0,2024-04-17
78839426,7120.0,2024-07-10
53186640,68.0,2024-04-30
37331518,50.0,2024-07-18
67468527,1275.0,2024-07-23
42205539,350.0,2024-08-09
44316620,700.0,2024-08-16
40908049,1000.0,2024-08-06
43371350,7000.0,2024-08-05
32179801,25.0,2024-08-07
17771704,1700.0,2024-08-13
36051516,675.0,2024-08-13
74679886,20.29999924,2024-08-13
41919651,270.0,2024-08-13
70316575,15.0,2024-08-25
83413298,52.0,2024-08-25
49881751,10000.0,2024-08-26
44997447,180.0,2024-08-26
89968841,6083.0,2024-08-26
85884133,150.0,2024-08-26
60104471,100.0,2024-08-26
13227660,4000.0,2024-08-26
88813193,7384.0,2024-08-26
11570297,350.0,2024-08-26
92873637,15.0,2024-08-26
43695040,22.0,2024-08-26
63871003,20.0,2024-08-26
76366358,5.0,2024-08-26
83911583,100.0,2024-08-26
81917918,10.0,2024-08-26
64990183,10500.0,2024-09-03
76783419,5060.0,2024-09-27
96468014,11.39000034,2024-04-05
74785864,575.0,2024-04-17
70826402,520.0,2024-04-28
45031467,20.0,2024-10-11
65781697,2.0,2024-07-16
99617229,12000.0,2024-07-23
25752551,35.0,2024-07-29
95197689,11.19999981,2024-08-06
89151560,1225.0,2024-08-13
79471280,667.9000244,2024-08-13
36669936,256.8099976,2024-08-13
65981988,40.0,2024-08-13
16780815,350.0,2024-08-25
34949731,340.0,2024-08-26
84490819,9000.0,2024-08-26
32805372,700.0,2024-08-26
80266019,1000.0,2024-08-26
48732520,1750.0,2024-08-26
63126963,810.0,2024-08-26
49176653,84.0,2024-08-26
17396018,362.0,2024-08-27
81306467,200.0,2024-08-26
43543651,76.0,2024-08-26
69007428,2.0,2024-08-26
36702557,600.0,2024-08-25
23310712,15000.0,2024-08-26
71372534,60.0,2024-08-26
69072313,223.0,2024-08-26
13631362,340.0,2024-08-26
18297514,7.699999809,2024-09-18
27178082,35.0,2024-09-27
15774621,1059.0,2024-10-12
71878823,3.630000114,2024-10-25
56893464,230.0,2024-10-26
85688856,102.0,2024-11-16
57673464,173.0,2024-11-19
99927636,100.0,2024-11-12
68510151,35.0,2024-12-01
63554274,58.0,2024-04-13
79338124,507.0,2024-04-26
19198324,2040.0,2024-05-08
80445127,5400.0,2024-07-16
51193080,28000.0,2024-07-29
45013796,108.0,2024-07-27
46885315,2016.0,2024-07-23
47221480,150.0,2024-08-07
50157984,132.5,2024-08-06
30529465,300.0,2024-08-13
30725357,555.0,2024-08-13
30385965,100.3000031,2024-08-13
54749274,3358.100098,2024-08-26
35025502,495.5,2024-08-26
27937114,57.0,2024-08-26
64406097,3.0,2024-08-26
43351344,3050.0,2024-08-26
29630654,406.0,2024-08-26
25544476,16.0,2024-08-26
23126828,8500.0,2024-08-26
42071204,100.0,2024-08-26
22592504,6.300000191,2024-08-26
80888552,150.0,2024-08-26
45864178,10.0,2024-08-26
95202800,10.0,2024-08-26
71994644,50.0,2024-08-26
22080766,313.0,2024-08-26
51144519,174.0,2024-09-02
95801678,10000.0,2024-09-04
85992415,84.5,2024-09-18
72160656,28000.0,2024-10-01
80573428,70000.0,2024-10-06
39706069,2170.0,2024-10-22
26832395,1624.0,2024-11-14
47444117,8.0,2024-11-25
13986642,14.0,2024-04-09
72452114,5835.700195,2024-04-17
84050325,20.0,2024-08-09
32387155,100.0,2024-05-13
31439028,508.0,2024-07-16
88420641,1700.0,2024-07-23
11190001,500.0,2024-07-30
26977529,23.0,2024-08-07
80144100,100.0,2024-08-07
99646652,500.0,2024-08-07
63392311,130.0,2024-08-07
58366437,10000.0,2024-08-13
13836968,100.0,2024-08-13
70469434,13.0,2024-08-13
89330444,105.0,2024-08-13
60809058,368.0,2024-08-25
78377586,25.0,2024-08-25
14565692,70.0,2024-08-26
95078629,4500.0,2024-08-25
46223354,200.0,2024-08-26
85801698,350.0,2024-08-26
25063187,12.0,2024-08-26
47680195,50.0,2024-08-26
72341820,8872.0,2024-08-26
84258600,2558.0,2024-08-26
36418100,4.099999905,2024-08-26
54002596,250.5500031,2024-08-26
67934894,4.0,2024-08-26
91420618,10000.0,2024-09-02
16031495,500.0,2024-09-19
93376156,1700.0,2024-10-14
60583117,100.0,2024-10-23
84315414,1.399999976,2024-11-09
58192731,255.0,2024-11-21
99315383,508.0,2024-11-19
85011595,400.0,2024-11-18
24582115,178.0,2024-11-19
78725216,35.27000046,2024-11-21
40131036,6500.0,2024-11-26
56221933,35000.0,2024-11-20
81109466,3.539999962,2024-04-11
19678628,399.0,2024-07-18
77464118,13828.0,2024-07-28
20191171,1590.0,2024-07-30
50584238,716.0,2024-08-08
94802087,10.0,2024-08-06
34766502,50.0,2024-08-06
89393427,227.0,2024-08-06
51593934,41.0,2024-08-13
42954847,620.0,2024-08-13
88594770,2604.0,2024-08-13
87031862,80.0,2024-08-13
64507583,10000.0,2024-08-13
73685094,740.0,2024-08-20
67997666,24.0,2024-08-25
16057618,30.0,2024-08-26
98990214,15.0,2024-08-26
70363631,1869.0,2024-08-26
44579924,1006.799988,2024-08-26
97458201,530.0,2024-08-26
77064783,200.0,2024-08-26
35856017,5.0,2024-08-26
71370679,1200.0,2024-08-26
21261627,1020.0,2024-08-26
99096854,1200.0,2024-08-26
17139032,130.0,2024-08-26
20435161,58.0,2024-08-25
62394233,3.0,2024-08-26
39940329,116.0,2024-08-26
17036258,896.0,2024-08-26
83304881,1100.0,2024-08-26
74430661,19.0,2024-08-26
93702435,400.0,2024-10-07
57216401,2300.0,2024-10-02
26086076,70000.0,2024-10-06
63628034,2.0,2024-11-03
43483361,18.0,2024-11-18
86227585,510.0,2024-04-07
49754492,1.399999976,2024-08-08
23188906,814.7999878,2024-07-07
48338526,20.0,2024-05-03
15666265,100.0,2024-07-27
39314755,200.0,2024-08-06
22026753,111.0,2024-08-06
79582591,430.0,2024-08-07
15670749,210.0,2024-08-13
89737148,15000.0,2024-08-13
87574976,4004.0,2024-08-13
48877049,50.0,2024-08-13
69049577,2200.0,2024-08-13
48953352,43.00999832,2024-08-25
85338881,53.0,2024-08-26
27282241,100.0,2024-08-26
15438522,60.0,2024-08-26
63870287,600.0,2024-08-27
44454457,90.0,2024-08-26
93290568,5774.0,2024-08-26
14472621,5.0,2024-08-26
90325680,670.0,2024-08-26
41890042,365.0,2024-08-27
82898396,5747.0,2024-08-27
48041187,161.0,2024-08-25
49263173,87.0,2024-08-26
56219599,9177.0,2024-08-26
58191741,50.0,2024-08-26
87045085,100.0,2024-08-26
94057189,16.0,2024-08-26
48084830,4.199999809,2024-08-26
66594787,26.0,2024-08-30
83034507,3828.0,2024-10-09
54199987,40.0,2024-10-31
90771373,100000.0,2024-10-25
64492961,500.0,2024-11-14
60644671,5000.0,2024-11-20
78319776,400.0,2024-11-29
80082989,2.0,2024-04-06
22407037,130.0,2024-04-30
57570218,70.0,2024-05-07
69111767,900.0,2024-07-01
51624104,7000.0,2024-07-23
56462134,15000.0,2024-07-25
35924409,54.0,2024-08-05
99575802,60.0,2024-08-06
67014211,2831.0,2024-08-13
20972505,357.0,2024-08-13
77638425,835.0,2024-08-26
32066969,8.0,2024-08-26
18127714,150.0,2024-08-26
94268694,13.0,2024-08-26
50140494,22.0,2024-08-26
35978985,600.0,2024-08-26
84403433,170.0,2024-08-26
78613705,800.0,2024-08-27
71897375,1566.0,2024-08-26
45266130,11.0,2024-08-26
55786523,317.0,2024-08-26
67427920,500.0,2024-08-26
11476593,410.0,2024-08-25
66714897,150.0,2024-09-18
55296818,28000.0,2024-09-29
30114030,20.0,2024-10-23
91716285,498.0,2024-11-12
51476972,50.0,2024-04-03
71163037,700.0,2024-04-16
51456900,88.0,2024-04-27
85967837,5.0,2024-07-18
76299117,12000.0,2024-07-28
63013333,136.3000031,2024-07-23
74552575,30.0,2024-07-31
63516557,15000.0,2024-08-06
65539005,230.0,2024-08-07
64625802,357.0,2024-08-06
32928867,4063.0,2024-08-13
57264599,100.0,2024-08-13
17712168,650.0,2024-08-13
69520500,30700.0,2024-08-13
32667890,2133.0,2024-08-13
81306730,271.0,2024-08-25
21474964,118.0,2024-08-07
53507415,11.0,2024-08-07
36410694,425.0,2024-08-13
34630923,254.0,2024-08-13
50121636,285.0,2024-08-13
30266427,1.700000048,2024-08-25
67686600,41.29999924,2024-08-26
72082763,2550.0,2024-08-27
18288806,22.0,2024-08-26
40055682,751.0,2024-08-26
95214704,230.0,2024-08-26
46059234,800.0,2024-08-26
49486899,535.0,2024-08-26
72090393,1614.0,2024-08-26
79889713,3679.399902,2024-08-26
47794253,2.099999905,2024-08-26
67629612,3000.0,2024-08-26
44602994,2.0,2024-08-26
31103408,300.0,2024-08-26
92874197,250.0,2024-09-17
43456159,220.0,2024-09-21
77747044,39.0,2024-10-28
91387450,100.0,2024-10-26
63726504,1000.0,2024-11-26
96756050,4140.0,2024-11-21
82306759,922.0,2024-11-21
97217561,136.0,2024-11-18
88536687,60.0,2024-09-18
91487528,19.0,2024-10-12
65233475,80.0,2024-09-15
29788945,1.0,2024-07-31
39716672,25.0,2024-10-11
30657675,1000.0,2024-08-04
75861195,50.0,2024-11-16
21961279,147.0,2024-10-07
22240733,1000.0,2024-11-06
37625748,20.0,2024-08-28
92693084,30.0,2024-05-08
93682319,100.0,2024-10-11
97517313,1300.0,2024-10-15
47110013,1000.0,2024-06-05
48842093,50.0,2024-11-16
83876999,4306.0,2024-07-30
18190236,20.0,2024-06-25
74349340,50.0,2024-07-01
50169680,20.0,2024-10-26
78638330,1000.0,2024-09-25
10415592,500.0,2024-05-02
69567395,200.0,2024-06-20
70689402,5.0,2024-10-23
16078704,400.0,2024-08-08
78195786,5.0,2024-06-21
73725150,1.0,2024-09-04
26318291,71.0,2024-05-27
36086189,100.0,2024-07-10
21689944,10.0,2024-10-08
24355832,1.0,2024-06-22
42151777,30.0,2024-09-14
24727180,1.0,2024-09-30
19727476,80.0,2024-10-27
57647480,50.0,2024-06-27
67948757,200.0,2024-05-30
80614842,100.0,2024-05-02
16809166,20.0,2024-06-08
39521149,100.0,2024-09-17
89675899,600.0,2024-06-04
71895690,3.0,2024-09-20
60915426,49.0,2024-05-26
63729916,100.0,2024-07-29
29937166,100.0,2024-10-23
93870547,260.0,2024-10-09
65819128,500.0,2024-08-10
17824709,36.0,2024-10-10
30180704,50.0,2024-09-21
48455006,70.0,2024-10-23
19300574,2.0,2024-08-03
46267899,1.0,2024-07-28
57426494,40.0,2024-07-01
36889226,400.0,2024-08-20
36674649,6.0,2024-09-25
97750469,500.0,2024-05-04
84800542,50.0,2024-11-16
99735745,80.0,2024-10-14
20940783,50.0,2024-07-18
97824994,150.0,2024-05-06
92103595,100.0,2024-05-07
50175197,5.0,2024-04-26
36425211,200.0,2024-10-10
25958901,30.0,2024-07-21
16818717,150.0,2024-04-26
85446024,6900.0,2024-10-12
66508225,200.0,2024-09-22
92249565,8.0,2024-11-04
69083738,500.0,2024-05-08
55162495,17.0,2024-10-29
92704365,50.0,2024-11-25
22755105,98.0,2024-09-28
51064389,9.0,2024-07-26
16352113,10.0,2024-05-09
65350380,1.0,2024-11-28
42492944,80.0,2024-05-26
84403515,2000.0,2024-10-14
34417723,6.0,2024-11-06
83657001,50.0,2024-07-03
10512050,50.0,2024-09-24
49392766,1.0,2024-05-29
40687943,25.0,2024-10-25
94255939,1.0,2024-04-29
45237106,10.0,2024-05-02
80532290,5.0,2024-06-06
24869144,500.0,2024-07-07
61157771,4.0,2024-08-06
61447178,10.0,2024-09-06
94087201,100.0,2024-05-25
65106824,50.0,2024-06-21
85299709,40.0,2024-06-22
79097448,1.0,2024-09-05
93995518,2.0,2024-11-28
36736786,200.0,2024-04-28
69279728,250.0,2024-05-14
49076970,20.0,2024-06-13
69406006,60.0,2024-08-14
15790970,200.0,2024-08-05
44503025,20.0,2024-07-01
27170177,300.0,2024-10-17
47439066,10.0,2024-04-28
13704314,183.0,2024-11-23
59615048,50.0,2024-05-03
46747603,10.0,2024-07-31
96101146,25.0,2024-10-06
15343475,75.0,2024-11-14
84064946,100.0,2024-07-01
41879797,10.0,2024-10-15
16268930,5.0,2024-10-21
75987009,100.0,2024-06-25
57904968,150.0,2024-08-25
84798984,28.0,2024-09-08
89356196,3.0,2024-09-08
77962507,150.0,2024-06-13
63223757,1.0,2024-11-25
23801859,25.0,2024-10-31
84354804,50.0,2024-08-16
17794659,100.0,2024-11-16
54647940,150.0,2024-07-14
24858904,207.0,2024-07-02
96558412,4.0,2024-11-18
73077886,250.0,2024-08-06
68110740,20.0,2024-11-21
58485098,3.0,2024-10-28
79627858,10.0,2024-06-27
29848277,150.0,2024-06-19
77386900,156.0,2024-10-27
